arch,strategy,seed,fold,n_images,accuracy,macro_f1
efficientnet_b0,finetuned,3,4,295,0.8508474576271157,0.846711695200363
efficientnet_b0,frozen,1,0,290,0.7689655172413766,0.7733160110795918
efficientnet_b0,frozen,1,1,313,0.7955271565495181,0.7848096807795949
efficientnet_b0,frozen,1,2,335,0.8388059701492512,0.8344954302019683
efficientnet_b0,frozen,1,3,297,0.8316498316498288,0.8369425122787506
efficientnet_b0,frozen,1,4,295,0.8237288135593192,0.8205809008871702
efficientnet_b0,frozen,2,0,290,0.7724137931034456,0.7762537278614037
efficientnet_b0,frozen,2,1,313,0.7955271565495181,0.7851655915660075
efficientnet_b0,frozen,2,2,335,0.8507462686567138,0.8490638023159628
efficientnet_b0,frozen,2,3,297,0.7946127946127919,0.8004214327005658
efficientnet_b0,frozen,2,4,295,0.871186440677963,0.8650989981125274
efficientnet_b0,frozen,3,0,290,0.7793103448275834,0.7794259225757464
efficientnet_b0,frozen,3,1,313,0.7987220447284319,0.7887007133634266
efficientnet_b0,frozen,3,2,335,0.8447761194029825,0.8391106650038949
efficientnet_b0,frozen,3,3,297,0.8383838383838355,0.8426434345407329
efficientnet_b0,frozen,3,4,295,0.864406779661014,0.8586003666957464
efficientnet_v2_b0,finetuned,1,0,290,0.7310344827586182,0.7378903895155355
efficientnet_v2_b0,finetuned,1,1,313,0.7891373801916907,0.7840246138269592
efficientnet_v2_b0,finetuned,1,2,335,0.8119402985074602,0.807255280742769
efficientnet_v2_b0,finetuned,1,3,297,0.8114478114478086,0.8204730564307319
efficientnet_v2_b0,finetuned,1,4,295,0.8440677966101665,0.8400314152336618
efficientnet_v2_b0,finetuned,2,0,290,0.7586206896551697,0.7659851497834494
efficientnet_v2_b0,finetuned,2,1,313,0.7763578274760358,0.769032967214848
efficientnet_v2_b0,finetuned,2,2,335,0.8417910447761169,0.8389430429954765
efficientnet_v2_b0,finetuned,2,3,297,0.814814814814812,0.8206395582919387
efficientnet_v2_b0,finetuned,2,4,295,0.8542372881355903,0.8507760097133468
efficientnet_v2_b0,finetuned,3,0,290,0.7482758620689629,0.7582695497105864
efficientnet_v2_b0,finetuned,3,1,313,0.7731629392971221,0.7648297541233618
efficientnet_v2_b0,finetuned,3,2,335,0.8388059701492512,0.8354565361159323
efficientnet_v2_b0,finetuned,3,3,297,0.8114478114478086,0.8176414892050978
efficientnet_v2_b0,finetuned,3,4,295,0.8610169491525393,0.8565142842455015
efficientnet_v2_b0,frozen,1,0,290,0.7724137931034456,0.7771534499604095
efficientnet_v2_b0,frozen,1,1,313,0.8115015974440868,0.8016910775498148
efficientnet_v2_b0,frozen,1,2,335,0.8567164179104452,0.8538532747102635
efficientnet_v2_b0,frozen,1,3,297,0.8417508417508388,0.8468690437854854
efficientnet_v2_b0,frozen,1,4,295,0.8474576271186411,0.8404291952918168
efficientnet_v2_b0,frozen,2,0,290,0.7689655172413766,0.777778382034561
efficientnet_v2_b0,frozen,2,1,313,0.8019169329073457,0.7903649269697742
efficientnet_v2_b0,frozen,2,2,335,0.8447761194029825,0.8391171200967643
efficientnet_v2_b0,frozen,2,3,297,0.8484848484848455,0.8520913679845928
efficientnet_v2_b0,frozen,2,4,295,0.8271186440677938,0.8239467158690045
efficientnet_v2_b0,frozen,3,0,290,0.7965517241379282,0.7990789835978193
efficientnet_v2_b0,frozen,3,1,313,0.8146964856230006,0.8021791528365351
efficientnet_v2_b0,frozen,3,2,335,0.8447761194029825,0.841024425327887
efficientnet_v2_b0,frozen,3,3,297,0.8181818181818153,0.8240768656864549
efficientnet_v2_b0,frozen,3,4,295,0.8271186440677938,0.8228870360845674
mobilenet_v2,finetuned,1,0,290,0.7827586206896524,0.7857978786503685
mobilenet_v2,finetuned,1,1,313,0.7476038338658123,0.7443532595909317
mobilenet_v2,finetuned,1,2,335,0.8119402985074602,0.806922350760488
mobilenet_v2,finetuned,1,3,297,0.8653198653198624,0.8691294872044303
mobilenet_v2,finetuned,1,4,295,0.8372881355932175,0.8328757101479222
mobilenet_v2,finetuned,2,0,290,0.7827586206896524,0.7897167848677903
mobilenet_v2,finetuned,2,1,313,0.7763578274760358,0.7693734136565317
mobilenet_v2,finetuned,2,2,335,0.8507462686567138,0.8462018174560074
mobilenet_v2,finetuned,2,3,297,0.7542087542087517,0.75714779110913
mobilenet_v2,finetuned,2,4,295,0.810169491525421,0.8043354848556974
mobilenet_v2,finetuned,3,0,290,0.7724137931034456,0.7755968352934038
mobilenet_v2,finetuned,3,1,313,0.7795527156549495,0.7730475144168945
mobilenet_v2,finetuned,3,2,335,0.8179104477611915,0.8146102021837112
mobilenet_v2,finetuned,3,3,297,0.8013468013467986,0.8035576282018568
mobilenet_v2,finetuned,3,4,295,0.8135593220338955,0.8088348671151245
mobilenet_v2,frozen,1,0,290,0.7620689655172387,0.7722597090581566
mobilenet_v2,frozen,1,1,313,0.7699680511182083,0.7640282360390148
mobilenet_v2,frozen,1,2,335,0.8208955223880572,0.8160611159293198
mobilenet_v2,frozen,1,3,297,0.7643097643097617,0.7648136816357322
mobilenet_v2,frozen,1,4,295,0.810169491525421,0.8071731784164359
