arch,strategy,seed,bin,bin_range,count_before,count_after,pct_before,pct_after
efficientnet_b0,finetuned,1,3,"(0.3,0.4]",130,81,8.49673202614379,5.294117647058823
efficientnet_b0,finetuned,1,4,"(0.4,0.5]",129,104,8.431372549019608,6.7973856209150325
efficientnet_b0,finetuned,1,5,"(0.5,0.6]",111,96,7.254901960784314,6.2745098039215685
efficientnet_b0,finetuned,1,6,"(0.6,0.7]",95,103,6.209150326797386,6.73202614379085
efficientnet_b0,finetuned,1,7,"(0.7,0.8]",107,82,6.993464052287582,5.359477124183006
efficientnet_b0,finetuned,1,8,"(0.8,0.9]",210,123,13.72549019607843,8.03921568627451
efficientnet_b0,finetuned,1,9,"(0.9,1.0]",703,923,45.947712418300654,60.326797385620914
efficientnet_b0,finetuned,2,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_b0,finetuned,2,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_b0,finetuned,2,2,"(0.2,0.3]",47,22,3.0718954248366015,1.4379084967320261
efficientnet_b0,finetuned,2,3,"(0.3,0.4]",138,77,9.019607843137255,5.032679738562091
efficientnet_b0,finetuned,2,4,"(0.4,0.5]",133,119,8.69281045751634,7.777777777777778
efficientnet_b0,finetuned,2,5,"(0.5,0.6]",107,106,6.993464052287582,6.928104575163399
efficientnet_b0,finetuned,2,6,"(0.6,0.7]",88,85,5.751633986928105,5.555555555555555
efficientnet_b0,finetuned,2,7,"(0.7,0.8]",119,88,7.777777777777778,5.751633986928105
efficientnet_b0,finetuned,2,8,"(0.8,0.9]",188,134,12.287581699346406,8.758169934640524
efficientnet_b0,finetuned,2,9,"(0.9,1.0]",710,899,46.40522875816993,58.75816993464052
efficientnet_b0,finetuned,3,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_b0,finetuned,3,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_b0,finetuned,3,2,"(0.2,0.3]",62,27,4.052287581699346,1.7647058823529411
efficientnet_b0,finetuned,3,3,"(0.3,0.4]",105,96,6.862745098039215,6.2745098039215685
efficientnet_b0,finetuned,3,4,"(0.4,0.5]",129,66,8.431372549019608,4.313725490196078
efficientnet_b0,finetuned,3,5,"(0.5,0.6]",113,105,7.38562091503268,6.862745098039215
efficientnet_b0,finetuned,3,6,"(0.6,0.7]",83,107,5.42483660130719,6.993464052287582
efficientnet_b0,finetuned,3,7,"(0.7,0.8]",148,76,9.673202614379084,4.967320261437909
efficientnet_b0,finetuned,3,8,"(0.8,0.9]",171,152,11.176470588235293,9.934640522875817
efficientnet_b0,finetuned,3,9,"(0.9,1.0]",719,901,46.99346405228758,58.888888888888886
efficientnet_v2_b0,frozen,1,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_v2_b0,frozen,1,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_v2_b0,frozen,1,2,"(0.2,0.3]",4,10,0.26143790849673204,0.6535947712418301
efficientnet_v2_b0,frozen,1,3,"(0.3,0.4]",41,50,2.679738562091503,3.2679738562091503
efficientnet_v2_b0,frozen,1,4,"(0.4,0.5]",60,85,3.9215686274509802,5.555555555555555
efficientnet_v2_b0,frozen,1,5,"(0.5,0.6]",88,96,5.751633986928105,6.2745098039215685
efficientnet_v2_b0,frozen,1,6,"(0.6,0.7]",82,90,5.359477124183006,5.882352941176471
efficientnet_v2_b0,frozen,1,7,"(0.7,0.8]",79,93,5.163398692810458,6.078431372549019
efficientnet_v2_b0,frozen,1,8,"(0.8,0.9]",127,142,8.300653594771243,9.281045751633988
efficientnet_v2_b0,frozen,1,9,"(0.9,1.0]",1049,964,68.56209150326798,63.00653594771242
efficientnet_v2_b0,frozen,2,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_v2_b0,frozen,2,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_v2_b0,frozen,2,2,"(0.2,0.3]",11,14,0.7189542483660131,0.9150326797385621
efficientnet_v2_b0,frozen,2,3,"(0.3,0.4]",43,58,2.810457516339869,3.7908496732026142
efficientnet_v2_b0,frozen,2,4,"(0.4,0.5]",70,82,4.57516339869281,5.359477124183006
efficientnet_v2_b0,frozen,2,5,"(0.5,0.6]",85,89,5.555555555555555,5.816993464052287
efficientnet_v2_b0,frozen,2,6,"(0.6,0.7]",78,108,5.098039215686274,7.0588235294117645
efficientnet_v2_b0,frozen,2,7,"(0.7,0.8]",86,103,5.620915032679738,6.73202614379085
efficientnet_v2_b0,frozen,2,8,"(0.8,0.9]",109,127,7.124183006535947,8.300653594771243
efficientnet_v2_b0,frozen,2,9,"(0.9,1.0]",1048,949,68.49673202614379,62.02614379084967
efficientnet_v2_b0,frozen,3,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_v2_b0,frozen,3,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_v2_b0,frozen,3,2,"(0.2,0.3]",2,7,0.13071895424836602,0.45751633986928103
efficientnet_v2_b0,frozen,3,3,"(0.3,0.4]",28,46,1.8300653594771241,3.0065359477124183
efficientnet_v2_b0,frozen,3,4,"(0.4,0.5]",63,94,4.117647058823529,6.143790849673203
efficientnet_v2_b0,frozen,3,5,"(0.5,0.6]",85,105,5.555555555555555,6.862745098039215
efficientnet_v2_b0,frozen,3,6,"(0.6,0.7]",80,102,5.228758169934641,6.666666666666667
efficientnet_v2_b0,frozen,3,7,"(0.7,0.8]",87,107,5.686274509803922,6.993464052287582
efficientnet_v2_b0,frozen,3,8,"(0.8,0.9]",131,158,8.562091503267974,10.326797385620916
efficientnet_v2_b0,frozen,3,9,"(0.9,1.0]",1054,911,68.88888888888889,59.54248366013072
efficientnet_v2_b0,finetuned,1,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_v2_b0,finetuned,1,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_v2_b0,finetuned,1,2,"(0.2,0.3]",131,34,8.562091503267974,2.2222222222222223
efficientnet_v2_b0,finetuned,1,3,"(0.3,0.4]",193,93,12.61437908496732,6.078431372549019
efficientnet_v2_b0,finetuned,1,4,"(0.4,0.5]",150,112,9.803921568627452,7.3202614379084965
efficientnet_v2_b0,finetuned,1,5,"(0.5,0.6]",101,115,6.601307189542483,7.516339869281046
efficientnet_v2_b0,finetuned,1,6,"(0.6,0.7]",96,99,6.2745098039215685,6.470588235294118
efficientnet_v2_b0,finetuned,1,7,"(0.7,0.8]",183,100,11.96078431372549,6.5359477124183005
efficientnet_v2_b0,finetuned,1,8,"(0.8,0.9]",258,115,16.862745098039216,7.516339869281046
efficientnet_v2_b0,finetuned,1,9,"(0.9,1.0]",418,862,27.320261437908496,56.33986928104575
efficientnet_v2_b0,finetuned,2,0,"(0.0,0.1]",0,0,0.0,0.0
efficientnet_v2_b0,finetuned,2,1,"(0.1,0.2]",0,0,0.0,0.0
efficientnet_v2_b0,finetuned,2,2,"(0.2,0.3]",99,13,6.470588235294118,0.8496732026143791
efficientnet_v2_b0,finetuned,2,3,"(0.3,0.4]",200,96,13.071895424836601,6.2745098039215685
efficientnet_v2_b0,finetuned,2,4,"(0.4,0.5]",142,110,9.281045751633988,7.189542483660131
efficientnet_v2_b0,finetuned,2,5,"(0.5,0.6]",110,96,7.189542483660131,6.2745098039215685
efficientnet_v2_b0,finetuned,2,6,"(0.6,0.7]",95,83,6.209150326797386,5.42483660130719
efficientnet_v2_b0,finetuned,2,7,"(0.7,0.8]",176,110,11.50326797385621,7.189542483660131
efficientnet_v2_b0,finetuned,2,8,"(0.8,0.9]",281,119,18.366013071895424,7.777777777777778
efficientnet_v2_b0,finetuned,2,9,"(0.9,1.0]",427,903,27.908496732026144,59.01960784313726
efficientnet_v2_b0,finetuned,3,0,"(0.0,0.1]",0,0,0.0,0.0
