arch,strategy,seed,class,support,precision,recall,f1
mobilenet_v3_small,frozen,3,scabies,254,0.7723214285714252,0.6811023622047218,0.7238493723844361
mobilenet_v3_small,finetuned,1,demodicosis,256,0.9467680608364982,0.9726562499999961,0.9595375722538315
mobilenet_v3_small,finetuned,1,dermatitis,253,0.643835616438354,0.7430830039525662,0.6899082568802339
mobilenet_v3_small,finetuned,1,flea_allergy,251,0.7714285714285682,0.7529880478087619,0.7620967741930452
mobilenet_v3_small,finetuned,1,fungus,260,0.6859205776173259,0.7307692307692278,0.7076350093104847
mobilenet_v3_small,finetuned,1,ringworm,256,0.8203124999999967,0.8203124999999967,0.8203124999994966
mobilenet_v3_small,finetuned,1,scabies,254,0.8121827411167472,0.6299212598425172,0.7095343680704583
mobilenet_v3_small,finetuned,2,demodicosis,256,0.9343065693430622,0.999999999999996,0.9660377358485533
mobilenet_v3_small,finetuned,2,dermatitis,253,0.6833976833976807,0.6996047430830012,0.6914062499994973
mobilenet_v3_small,finetuned,2,flea_allergy,251,0.7833333333333301,0.749003984063742,0.7657841140524502
mobilenet_v3_small,finetuned,2,fungus,260,0.6611295681063101,0.7653846153846123,0.7094474153292682
mobilenet_v3_small,finetuned,2,ringworm,256,0.7859778597785948,0.8320312499999967,0.8083491461095542
mobilenet_v3_small,finetuned,2,scabies,254,0.7783783783783742,0.5669291338582655,0.6560364464687576
mobilenet_v3_small,finetuned,3,demodicosis,256,0.9233576642335732,0.988281249999996,0.9547169811315723
mobilenet_v3_small,finetuned,3,dermatitis,253,0.6619718309859131,0.7430830039525662,0.7001862197387912
mobilenet_v3_small,finetuned,3,flea_allergy,251,0.7573221757322144,0.7211155378486027,0.7387755102035789
mobilenet_v3_small,finetuned,3,fungus,260,0.639455782312923,0.7230769230769203,0.6787003610103297
mobilenet_v3_small,finetuned,3,ringworm,256,0.7962962962962933,0.8398437499999967,0.8174904942960751
mobilenet_v3_small,finetuned,3,scabies,254,0.8224852071005869,0.5472440944881868,0.65721040189077
resnet_50,frozen,1,demodicosis,256,0.9960784313725451,0.992187499999996,0.9941291585122163
resnet_50,frozen,1,dermatitis,253,0.7797356828193799,0.6996047430830012,0.7374999999994984
resnet_50,frozen,1,flea_allergy,251,0.8444444444444407,0.7569721115537819,0.7983193277305906
resnet_50,frozen,1,fungus,260,0.7770034843205548,0.8576923076923043,0.8153564899446536
resnet_50,frozen,1,ringworm,256,0.754966887417216,0.8906249999999964,0.8172043010747692
resnet_50,frozen,1,scabies,254,0.7521367521367489,0.692913385826769,0.7213114754093339
resnet_50,frozen,2,demodicosis,256,0.9921568627450942,0.988281249999996,0.9902152641873629
resnet_50,frozen,2,dermatitis,253,0.7635658914728652,0.7786561264822104,0.7710371819955831
resnet_50,frozen,2,flea_allergy,251,0.855855855855852,0.7569721115537819,0.8033826638472785
resnet_50,frozen,2,fungus,260,0.8154981549815468,0.8499999999999966,0.8323917137471428
resnet_50,frozen,2,ringworm,256,0.8415094339622609,0.8710937499999966,0.8560460652586138
resnet_50,frozen,2,scabies,254,0.7220077220077191,0.736220472440942,0.7290448343074892
resnet_50,frozen,3,demodicosis,256,0.988281249999996,0.988281249999996,0.988281249999496
resnet_50,frozen,3,dermatitis,253,0.7567567567567538,0.7747035573122499,0.7656249999994971
resnet_50,frozen,3,flea_allergy,251,0.820512820512817,0.7649402390438217,0.791752577319085
resnet_50,frozen,3,fungus,260,0.7902621722846411,0.8115384615384583,0.8007590132822294
resnet_50,frozen,3,ringworm,256,0.8425196850393668,0.8359374999999967,0.8392156862740064
resnet_50,frozen,3,scabies,254,0.7038461538461511,0.7204724409448791,0.7120622568088357
resnet_50,finetuned,1,demodicosis,256,0.9883720930232519,0.996093749999996,0.9922178988321809
resnet_50,finetuned,1,dermatitis,253,0.700757575757573,0.7312252964426849,0.7156673114114896
resnet_50,finetuned,1,flea_allergy,251,0.8297872340425497,0.7768924302788813,0.8024691358019664
resnet_50,finetuned,1,fungus,260,0.7697594501718186,0.8615384615384581,0.8130671506347072
resnet_50,finetuned,1,ringworm,256,0.8371212121212088,0.8632812499999966,0.8499999999994968
resnet_50,finetuned,1,scabies,254,0.802752293577978,0.6889763779527532,0.7415254237283133
resnet_50,finetuned,2,demodicosis,256,0.9921259842519646,0.9843749999999961,0.9882352941171432
resnet_50,finetuned,2,dermatitis,253,0.7226562499999971,0.7312252964426849,0.7269155206281809
resnet_50,finetuned,2,flea_allergy,251,0.8508771929824525,0.7729083665338615,0.8100208768262201
resnet_50,finetuned,2,fungus,260,0.7770034843205548,0.8576923076923043,0.8153564899446536
resnet_50,finetuned,2,ringworm,256,0.8252788104089188,0.8671874999999966,0.8457142857137826
resnet_50,finetuned,2,scabies,254,0.7838983050847425,0.7283464566929105,0.7551020408158241
resnet_50,finetuned,3,demodicosis,256,0.9884169884169846,0.999999999999996,0.9941747572810493
resnet_50,finetuned,3,dermatitis,253,0.7459677419354809,0.7312252964426849,0.7385229540913134
resnet_50,finetuned,3,flea_allergy,251,0.8360655737704884,0.8127490039840605,0.824242424241921
resnet_50,finetuned,3,fungus,260,0.774193548387094,0.8307692307692275,0.8014842300551561
resnet_50,finetuned,3,ringworm,256,0.8364312267657961,0.8789062499999964,0.857142857142354
resnet_50,finetuned,3,scabies,254,0.7662337662337629,0.6968503937007847,0.729896907215993
efficientnet_b0,frozen,1,demodicosis,256,0.9882352941176432,0.9843749999999961,0.9863013698625097
efficientnet_b0,frozen,1,dermatitis,253,0.7338709677419325,0.7193675889328035,0.726546906187122
efficientnet_b0,frozen,1,flea_allergy,251,0.8223140495867735,0.792828685258961,0.8073022312368193
efficientnet_b0,frozen,1,fungus,260,0.7822878228782258,0.8153846153846122,0.7984934086623973
efficientnet_b0,frozen,1,ringworm,256,0.8107142857142827,0.8867187499999964,0.847014925372632
efficientnet_b0,frozen,1,scabies,254,0.7307692307692276,0.6732283464566903,0.7008196721306454
efficientnet_b0,frozen,2,demodicosis,256,0.9880952380952341,0.9726562499999961,0.9803149606294174
efficientnet_b0,frozen,2,dermatitis,253,0.7272727272727244,0.7272727272727244,0.7272727272722244
efficientnet_b0,frozen,2,flea_allergy,251,0.7857142857142826,0.7888446215139411,0.7872763419478069
efficientnet_b0,frozen,2,fungus,260,0.7992831541218609,0.8576923076923043,0.8274582560291821
efficientnet_b0,frozen,2,ringworm,256,0.8228782287822847,0.8710937499999966,0.8462998102461764
efficientnet_b0,frozen,2,scabies,254,0.7802690582959606,0.6850393700787375,0.729559748427172
efficientnet_b0,frozen,3,demodicosis,256,0.9729729729729691,0.9843749999999961,0.9786407766985252
efficientnet_b0,frozen,3,dermatitis,253,0.7449392712550578,0.7272727272727244,0.7359999999994971
efficientnet_b0,frozen,3,flea_allergy,251,0.7992277992277961,0.8247011952191202,0.8117647058818498
efficientnet_b0,frozen,3,fungus,260,0.7915194346289725,0.8615384615384581,0.8250460405151516
efficientnet_b0,frozen,3,ringworm,256,0.8390804597701117,0.8554687499999966,0.8471953578331524
efficientnet_b0,frozen,3,scabies,254,0.800904977375562,0.6968503937007847,0.7452631578942361
efficientnet_b0,finetuned,1,demodicosis,256,0.9731800766283487,0.992187499999996,0.9825918762083936
efficientnet_b0,finetuned,1,dermatitis,253,0.7313432835820868,0.7747035573122499,0.7523992322451788
efficientnet_b0,finetuned,1,flea_allergy,251,0.8215767634854738,0.7888446215139411,0.8048780487799847
efficientnet_b0,finetuned,1,fungus,260,0.7508650519031115,0.8346153846153813,0.7905282331506823
efficientnet_b0,finetuned,1,ringworm,256,0.8352490421455906,0.8515624999999966,0.843326885879574
efficientnet_b0,finetuned,1,scabies,254,0.8380952380952341,0.692913385826769,0.7586206896546737
efficientnet_b0,finetuned,2,demodicosis,256,0.999999999999996,0.9726562499999961,0.9861386138608823
efficientnet_b0,finetuned,2,dermatitis,253,0.719557195571953,0.7707509881422895,0.744274809159803
efficientnet_b0,finetuned,2,flea_allergy,251,0.8247863247863213,0.7689243027888416,0.7958762886592912
efficientnet_b0,finetuned,2,fungus,260,0.7482993197278885,0.8461538461538428,0.7942238267143004
efficientnet_b0,finetuned,2,ringworm,256,0.8505747126436748,0.8671874999999966,0.8588007736938873
efficientnet_b0,finetuned,2,scabies,254,0.7918552036199059,0.6889763779527532,0.7368421052626571
efficientnet_b0,finetuned,3,demodicosis,256,0.9765624999999961,0.9765624999999961,0.9765624999994961
efficientnet_b0,finetuned,3,dermatitis,253,0.7220216606498169,0.7905138339920917,0.7547169811315737
efficientnet_b0,finetuned,3,flea_allergy,251,0.8623853211009135,0.749003984063742,0.8017057569291365
efficientnet_b0,finetuned,3,fungus,260,0.7508417508417482,0.8576923076923043,0.8007181328540773
efficientnet_b0,finetuned,3,ringworm,256,0.8097014925373104,0.8476562499999966,0.8282442748086573
efficientnet_b0,finetuned,3,scabies,254,0.8037383177570057,0.677165354330706,0.7350427350422355
efficientnet_v2_b0,frozen,1,demodicosis,256,0.9844357976653657,0.988281249999996,0.9863547758279559
efficientnet_v2_b0,frozen,1,dermatitis,253,0.7603305785123936,0.7272727272727244,0.7434343434338406
efficientnet_v2_b0,frozen,1,flea_allergy,251,0.7764705882352911,0.7888446215139411,0.7826086956516708
efficientnet_v2_b0,frozen,1,fungus,260,0.8401486988847552,0.8692307692307658,0.8544423440448654
efficientnet_v2_b0,frozen,1,ringworm,256,0.8007246376811564,0.8632812499999966,0.8308270676686703
efficientnet_v2_b0,frozen,1,scabies,254,0.7922077922077888,0.7204724409448791,0.7546391752572299
efficientnet_v2_b0,frozen,2,demodicosis,256,0.969465648854958,0.992187499999996,0.9806949806944769
efficientnet_v2_b0,frozen,2,dermatitis,253,0.7801724137931001,0.715415019762843,0.7463917525768174
efficientnet_v2_b0,frozen,2,flea_allergy,251,0.7509433962264122,0.792828685258961,0.7713178294568616
efficientnet_v2_b0,frozen,2,fungus,260,0.811111111111108,0.842307692307689,0.8264150943391195
efficientnet_v2_b0,frozen,2,ringworm,256,0.7963636363636334,0.8554687499999966,0.8248587570616442
efficientnet_v2_b0,frozen,2,scabies,254,0.8008849557522089,0.7125984251968476,0.7541666666661652
efficientnet_v2_b0,frozen,3,demodicosis,256,0.9652509652509614,0.9765624999999961,0.9708737864072632
