arch,strategy,seed,n_images,accuracy,macro_f1,ece_before,ece_after,brier_before,brier_after,nll_before,nll_after,T_mean,T_min,T_max,T_f0,T_f1,T_f2,T_f3,T_f4,ece_delta,brier_delta,nll_delta
mobilenet_v2,frozen,3,1530,0.7895424836601302,0.789558977599819,0.05339100569291832,0.03350852646079716,0.2966034528306034,0.29215447059257715,0.6182698607444763,0.6001046299934387,1.18515442782475,1.0940656631340462,1.3098206534417265,1.0967334240528608,1.1685917441762028,1.256560654318913,1.0940656631340462,1.3098206534417265,-0.019882479232121157,-0.004448982238026256,-0.018165230751037598
mobilenet_v3_small,finetuned,1,1530,0.77516339869281,0.7748374134512583,0.12278445300713084,0.04512203890903324,0.34003477023232875,0.31777389041779197,0.7385715842247009,0.6967523097991943,0.7058473869814119,0.6099358770444131,0.7620885399506329,0.7372797377317329,0.6931562098144984,0.7267765703657822,0.6099358770444131,0.7620885399506329,-0.0776624140980976,-0.022260879814536783,-0.04181927442550659
mobilenet_v3_small,finetuned,2,1530,0.7692810457516335,0.7661768513013468,0.0939707111494214,0.026252716214828224,0.32890474709851925,0.320688123364521,0.7125380039215088,0.69576495885849,0.7397530366585933,0.5458825709008203,0.8784591276266054,0.8784591276266054,0.7145177788640767,0.71109013554976,0.5458825709008203,0.8488155703517044,-0.06771799493459318,-0.00821662373399823,-0.0167730450630188
mobilenet_v3_small,finetuned,3,1530,0.7607843137254897,0.7578466613785194,0.11137856463201685,0.02947415783514383,0.35159798537826953,0.33360042146140695,0.7630780339241028,0.7283586263656616,0.6764449537385728,0.5498960459663073,0.8065648861422416,0.8065648861422416,0.6208279069746965,0.7046480596658172,0.5498960459663073,0.7002878699438015,-0.08190440679687302,-0.01799756391686258,-0.03471940755844116
mobilenet_v3_small,frozen,1,1530,0.8228758169934636,0.8230024763196634,0.04158653482502579,0.02171784323804519,0.2671135986189506,0.26216396586377283,0.600669264793396,0.5721668004989624,1.2073699973357888,1.0940164464818365,1.3780262150414582,1.3780262150414582,1.190002180334709,1.1429735108872254,1.0940164464818365,1.2318316339337152,-0.019868691586980604,-0.004949632755177791,-0.028502464294433594
mobilenet_v3_small,frozen,2,1530,0.8130718954248362,0.8134331583956099,0.05734884179885094,0.026626863140685898,0.266053395568084,0.261178178175312,0.5801683664321899,0.5541706681251526,1.272567705238263,1.0953495232289003,1.4745252473607908,1.3308440579180898,1.0953495232289003,1.2734261246984135,1.1886935729851194,1.4745252473607908,-0.030721978658165044,-0.004875217392771969,-0.025997698307037354
mobilenet_v3_small,frozen,3,1530,0.8091503267973852,0.8088195467648678,0.0461576008134418,0.02725640778837637,0.2689248239724242,0.2653917235345273,0.5881397724151611,0.5674477815628052,1.2127720831115514,1.1188461458802599,1.4387331917692023,1.1806069142625113,1.1895808114835638,1.13609335216222,1.1188461458802599,1.4387331917692023,-0.01890119302506543,-0.0035331004378968967,-0.020691990852355957
nasnet_mobile,finetuned,1,1530,0.7431372549019604,0.7406419872852122,0.12300168737476948,0.036478790212300855,0.37902222234694916,0.3569416032416117,0.8081107139587402,0.7599498629570007,0.6707032733486092,0.6063632432938971,0.7238311459619385,0.6561938785315518,0.7170016548901692,0.6063632432938971,0.6501264440654895,0.7238311459619385,-0.08652289716246862,-0.02208061910533743,-0.0481608510017395
nasnet_mobile,finetuned,2,1530,0.72875816993464,0.7257367405926153,0.11660977629275106,0.02860866648698943,0.3853594235263795,0.363976721367087,0.824427604675293,0.7728491425514221,0.6812720589580508,0.5599048558422438,0.745331519361733,0.6447711024289459,0.7179596222040199,0.5599048558422438,0.7383931949533115,0.745331519361733,-0.08800110980576163,-0.0213827021592925,-0.05157846212387085
nasnet_mobile,finetuned,3,1530,0.7594771241830061,0.7573833232946202,0.14493137699326655,0.024221495670430814,0.374166650736143,0.34647022946144684,0.8023721575737,0.7416396737098694,0.6660011866389844,0.5803622810411941,0.7752596077408087,0.6620085687715289,0.7095858809564635,0.5803622810411941,0.6027895946849264,0.7752596077408087,-0.12070988132283574,-0.02769642127469618,-0.060732483863830566
nasnet_mobile,frozen,1,1530,0.7934640522875812,0.7926203717010121,0.060145093179216555,0.015389670714054256,0.30407637732643944,0.29599064135272213,0.6740082502365112,0.624889075756073,1.3441804573639409,1.2719372669330564,1.43515087750897,1.43515087750897,1.3146795333758943,1.2719372669330564,1.3728990766448164,1.326235532356968,-0.0447554224651623,-0.008085735973717312,-0.04911917448043823
nasnet_mobile,frozen,2,1530,0.783006535947712,0.7826047320581595,0.05178627983417387,0.01949417328133306,0.30755532714225714,0.3038334974616421,0.677727222442627,0.6474897265434265,1.2159031932166542,1.0511684085249684,1.4479642904730436,1.0511684085249684,1.2975967411944485,1.1091055398828864,1.4479642904730436,1.1736809860079247,-0.032292106552840816,-0.0037218296806150186,-0.03023749589920044
nasnet_mobile,frozen,3,1530,0.7810457516339865,0.7827006728058074,0.034818145379521485,0.020222206618271614,0.3229585688819753,0.31883752592739295,0.7010299563407898,0.6773418188095093,1.1417501809882697,0.9538121521471898,1.3354514096737093,1.3354514096737093,1.1501398143921246,1.2453361276149704,0.9538121521471898,1.0240114011133552,-0.014595938761249871,-0.004121042954582377,-0.023688137531280518
resnet_50,finetuned,1,1530,0.8202614379084963,0.8191578200680256,0.03034510974790534,0.025102141908570845,0.24462210647003887,0.24242714381901434,0.5331352949142456,0.5258121490478516,1.0852215147157902,0.9080390861719976,1.1657348195506612,1.1217179736116134,1.1604610211315498,1.07015467311313,0.9080390861719976,1.1657348195506612,-0.005242967839334495,-0.0021949626510245346,-0.007323145866394043
resnet_50,finetuned,2,1530,0.8241830065359472,0.8235574180076343,0.019261744696330397,0.01213463874034631,0.250762527092649,0.24947647554065222,0.5365880727767944,0.5324378609657288,1.095414663752416,0.9743807718401408,1.2662825033279685,1.2662825033279685,1.0740833070757112,0.9933434676064556,0.9743807718401408,1.1689832689118043,-0.007127105955984087,-0.0012860515519967919,-0.004150211811065674
resnet_50,finetuned,3,1530,0.8254901960784309,0.8242440216712978,0.01794055934045829,0.01846516876438866,0.24595572728637158,0.24506379531572908,0.5408803224563599,0.5371659994125366,1.1378939488175532,0.8930086635268225,1.3157366401300394,1.3157366401300394,1.0675760318513106,1.118497973033241,0.8930086635268225,1.2946504355463528,0.0005246094239303722,-0.0008919319706424955,-0.003714323043823242
