arch,strategy,class,support,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
mobilenet_v2,finetuned,scabies,254.0,0.7541375916979748,0.023123565612228118,0.6811023622047218,0.020832687488697526,0.7153508118632371,0.006795437450539511
mobilenet_v2,frozen,demodicosis,256.0,0.9245083954386244,0.007100387055392415,0.9401041666666629,0.00596689543614042,0.9322175501196569,0.0032337778353182254
mobilenet_v2,frozen,dermatitis,253.0,0.6789180683380914,0.023651276506318437,0.769433465085636,0.013880966736301287,0.7211190809974649,0.013133387555729757
mobilenet_v2,frozen,flea_allergy,251.0,0.7541535897155388,0.016240587198368656,0.7569721115537819,0.003984063745019917,0.7555231793625556,0.009974602972877052
mobilenet_v2,frozen,fungus,260.0,0.7997174070251999,0.05464616299477452,0.7564102564102534,0.051217908603687384,0.7751655726948581,0.01025547129945864
mobilenet_v2,frozen,ringworm,256.0,0.8307966796300718,0.019420681851266035,0.8203124999999968,0.03382911733532952,0.8249912177099,0.009902698815205321
mobilenet_v2,frozen,scabies,254.0,0.7541963848681877,0.011929430696415076,0.6837270341207322,0.01860557333170309,0.7170741117003443,0.009195824114886432
mobilenet_v3_small,finetuned,demodicosis,256.0,0.9348107648043779,0.011713339706248114,0.9869791666666626,0.01371829915736031,0.9600974297446524,0.00568110483515603
mobilenet_v3_small,finetuned,dermatitis,253.0,0.6630683769406492,0.019803815170231675,0.7285902503293779,0.025102185616940113,0.6938335755395074,0.005552302413266057
mobilenet_v3_small,finetuned,flea_allergy,251.0,0.7706946934980375,0.013021098745889673,0.7410358565737022,0.017366131249165934,0.7555521328163581,0.014645491406176875
mobilenet_v3_small,finetuned,fungus,260.0,0.662168642678853,0.023249818443280303,0.7397435897435868,0.022536404911854928,0.6985942618833608,0.017252439620347098
mobilenet_v3_small,finetuned,ringworm,256.0,0.8008622186916282,0.01761682761661252,0.8307291666666634,0.009830513587592135,0.8153840468017086,0.006253662915355461
mobilenet_v3_small,finetuned,scabies,254.0,0.8043487755319028,0.02307339046544845,0.5813648293963232,0.043187618561428526,0.674260405476662,0.030553786518770956
mobilenet_v3_small,frozen,demodicosis,256.0,0.9986449864498604,0.002346952313778995,0.9674479166666629,0.011933790872280796,0.982780346818108,0.007045373292270903
mobilenet_v3_small,frozen,dermatitis,253.0,0.713243736529139,0.013732746730314466,0.7430830039525662,0.0039525691699604515,0.7277867685092151,0.005578282319915461
mobilenet_v3_small,frozen,flea_allergy,251.0,0.7738589369055822,0.019844633108160654,0.7808764940239014,0.014364746117386341,0.7773064933093767,0.015772494201511843
mobilenet_v3_small,frozen,fungus,260.0,0.8169191919191888,0.012176326718425444,0.8294871794871762,0.012363654821785796,0.8231552162844841,0.012269275777344775
mobilenet_v3_small,frozen,ringworm,256.0,0.8528167983611321,0.025718160489265878,0.8554687499999966,0.0078125,0.8539218062113793,0.0092313807890652
mobilenet_v3_small,frozen,scabies,254.0,0.7417755095977002,0.02847940302011303,0.7112860892388424,0.026213890230233735,0.725559731827719,0.006431252918272962
nasnet_mobile,finetuned,demodicosis,256.0,0.8788583585822956,0.014483099387667418,0.9622395833333295,0.0022552744890219595,0.9186274745254909,0.008744020233504176
nasnet_mobile,finetuned,dermatitis,253.0,0.7711494131051074,0.014497111946037318,0.6363636363636339,0.04454319236989959,0.6963990996870755,0.022008979221418715
nasnet_mobile,finetuned,flea_allergy,251.0,0.6761103417689416,0.01119694372527572,0.7755644090305415,0.01610140192959112,0.7223141788918753,0.007573786989122575
nasnet_mobile,finetuned,fungus,260.0,0.7157070772263722,0.016611251398755966,0.7089743589743561,0.0389076689884447,0.7118782481936118,0.020097145077361992
nasnet_mobile,finetuned,ringworm,256.0,0.7434965179165584,0.030508047593395832,0.7473958333333304,0.0045105489780439675,0.7451685614444502,0.012863939040837625
nasnet_mobile,finetuned,scabies,254.0,0.6770661384560223,0.05158828754612501,0.6312335958005225,0.02168334861136256,0.6531365396023923,0.03544324234800053
nasnet_mobile,frozen,demodicosis,256.0,0.9753461520945926,0.009742116998348635,0.9778645833333295,0.008131507810414577,0.9765979403529689,0.008482109255669525
nasnet_mobile,frozen,dermatitis,253.0,0.7028826773181781,0.007352024750083002,0.7167325428194965,0.01597411811987098,0.7096738089536507,0.009080389260629682
nasnet_mobile,frozen,flea_allergy,251.0,0.7599643383490081,0.029578102893608117,0.7702523240371816,0.006085757895027555,0.7648568598007452,0.01475861023664149
