arch,strategy,fold,seed,epochs_run,n_train,n_test,seconds,model_kept
efficientnet_v2_b0,finetuned,1,3,50,1000,313,221.7,False
efficientnet_v2_b0,finetuned,2,1,50,1005,335,219.6,False
efficientnet_v2_b0,finetuned,2,2,50,1005,335,221.4,False
efficientnet_v2_b0,finetuned,2,3,50,1005,335,221.8,False
efficientnet_v2_b0,finetuned,3,1,50,1041,297,223.8,False
efficientnet_v2_b0,finetuned,3,2,50,1041,297,225.4,False
efficientnet_v2_b0,finetuned,3,3,50,1041,297,225.4,False
efficientnet_v2_b0,finetuned,4,1,50,1038,295,223.3,False
efficientnet_v2_b0,finetuned,4,2,50,1038,295,217.1,False
efficientnet_v2_b0,finetuned,4,3,50,1038,295,221.7,False
nasnet_mobile,frozen,0,1,23,1046,290,148.4,True
nasnet_mobile,frozen,0,2,16,1046,290,114.0,False
nasnet_mobile,frozen,0,3,20,1046,290,158.3,False
nasnet_mobile,frozen,1,1,27,1000,313,179.5,False
nasnet_mobile,frozen,1,2,25,1000,313,154.0,False
nasnet_mobile,frozen,1,3,20,1000,313,139.6,False
nasnet_mobile,frozen,2,1,21,1005,335,134.6,False
nasnet_mobile,frozen,2,2,18,1005,335,132.2,False
nasnet_mobile,frozen,2,3,22,1005,335,138.6,False
nasnet_mobile,frozen,3,1,20,1041,297,151.9,False
nasnet_mobile,frozen,3,2,22,1041,297,144.8,False
nasnet_mobile,frozen,3,3,14,1041,297,114.0,False
nasnet_mobile,frozen,4,1,16,1038,295,119.6,False
nasnet_mobile,frozen,4,2,14,1038,295,115.4,False
nasnet_mobile,frozen,4,3,12,1038,295,98.0,False
nasnet_mobile,finetuned,0,1,50,1046,290,318.2,True
nasnet_mobile,finetuned,0,2,50,1046,290,339.7,False
nasnet_mobile,finetuned,0,3,50,1046,290,307.5,False
nasnet_mobile,finetuned,1,1,50,1000,313,302.7,False
nasnet_mobile,finetuned,1,2,50,1000,313,309.3,False
nasnet_mobile,finetuned,1,3,50,1000,313,302.5,False
nasnet_mobile,finetuned,2,1,50,1005,335,316.8,False
nasnet_mobile,finetuned,2,2,50,1005,335,322.1,False
nasnet_mobile,finetuned,2,3,50,1005,335,297.2,False
nasnet_mobile,finetuned,3,1,50,1041,297,303.1,False
nasnet_mobile,finetuned,3,2,50,1041,297,307.6,False
nasnet_mobile,finetuned,3,3,50,1041,297,315.6,False
nasnet_mobile,finetuned,4,1,50,1038,295,331.0,False
nasnet_mobile,finetuned,4,2,50,1038,295,316.8,False
nasnet_mobile,finetuned,4,3,50,1038,295,297.4,False
convnext_tiny,finetuned,3,1,50,1041,297,1328.1,False
convnext_tiny,finetuned,3,2,50,1041,297,1318.1,False
convnext_tiny,finetuned,3,3,50,1041,297,1312.3,False
convnext_tiny,finetuned,4,1,50,1038,295,1337.9,False
convnext_tiny,finetuned,4,2,50,1038,295,1320.7,False
convnext_tiny,finetuned,4,3,50,1038,295,1318.5,False
